이름,주소,lat,lng
펠트커피 도산공원점,서울특별시 강남구 신사동 645-21,37.5256394837393,127.035435407453
맘마미아,서울특별시 강남구 신사동 645-26,37.5259124520246,127.034643522394
정월,서울특별시 강남구 역삼동 618-21,37.5036713501231,127.02859486655
홍차가게 청담,서울특별시 강남구 삼성동 57-11 1층,37.5189456132352,127.054697289004
윌비 가로수길점,서울특별시 강남구 신사동 517-4,37.5192630396364,127.020905125007
뉴욕라츠오베이글스,서울특별시 강남구 신사동 642-6,37.5267934810124,127.036636828798
정다방,서울특별시 강남구 역삼동 725-51,37.4992585977298,127.040025186936
덴시티커피,서울특별시 강남구 청담동 7-4,37.5229998169512,127.047047275466
키쏘커피 파랑헌,서울특별시 강남구 신사동 646-15,37.5256449814978,127.03661160516
카페 레꼴뜨,서울특별시 강남구 역삼동 681-58,37.5091439055913,127.042554367084
카페 노티드 청담,서울특별시 강남구 신사동 654-9,37.5241953632628,127.038302584861
메이킷 카페,서울특별시 강남구 삼성동 127-9,37.5096832950573,127.05469471453
수목금토 카페,서울특별시 강남구 논현동 25-6,37.5145300697632,127.025484935244
아러바우트 신사,서울특별시 강남구 신사동 545-18,37.5204233575975,127.023280412281
카페엔바이콘 논현점,서울특별시 강남구 논현동 4-18,37.5171788149032,127.02297376612
RDBK 가로수,서울특별시 강남구 신사동 546-3,37.5221471311136,127.022948479258
웻커피 신사,서울특별시 강남구 신사동 507-3 1층,37.5199347946135,127.020055896599
바잇미 신사점,서울특별시 강남구 신사동 525-22,37.5225737121578,127.021256279622
우디집 도산점,서울특별시 강남구 신사동 644-22,37.5265492349981,127.036000015499
카페알케미,서울특별시 강남구 일원동 646-4,37.4912669779884,127.087277825729
겟썸커피,서울특별시 강남구 역삼동 812-3,37.5030834912667,127.027251308629
라이프커피앤티,서울특별시 강남구 논현동 101-19,37.5204596631643,127.039824860614
602dessert,서울특별시 강남구 일원동 677-11,37.4915715575047,127.082714962626
Small Batch Seoul,서울특별시 강남구 신사동 634-8,37.5259934343144,127.034085382131
커피휘엘,서울특별시 강남구 논현동 4-21,37.5169965117789,127.023583740846
삼삼공데이,서울특별시 강남구 역삼동 642-6,37.501694958815,127.035976882965
까사디도노,서울특별시 강남구 청담동 16-2 1층,37.5212908849481,127.044490329848
마츄피츄,서울특별시 강남구 논현동 254-22,37.5136727146898,127.041023502775
