S-TOWER,서울특별시 봉은사로 469 (개방화장실),37.51348,127.05272,화장실
스타벅스,서울특별시 삼성로 605 (개방화장실),37.51237,127.05203,화장실
쌍용플래티넘,서울특별시 봉은사로 474 (개방화장실),37.51189,127.05359,화장실
GS칼텍스㈜삼성로점,서울특별시 삼성로 563 (개방화장실),37.5093,127.05357,화장실
삼성파크아파트,서울특별시 삼성로99길 14 (개방화장실),37.50602,127.049,화장실
덕우빌딩,서울특별시 선릉로94길 7 (개방화장실),37.48913,127.10481,화장실
수서파출소,서울특별시 강남구 밤고개로1길 48 (공중화장실),37.46518,127.10736,화장실
대왕파출소,서울특별시 강남구 헌릉로 623 (공중화장실),37.49413,127.07878,화장실
서울주택도시공사 본관화장실,서울특별시 강남구 개포로 621 (공중화장실),37.47253,127.1153,화장실
율현3공원,서울특별시 강남구 율현동 77-2 (공중화장실),37.50463,127.02503,화장실
신논현역,서울특별시 강남구 봉은사로 지하102 (공중화장실),37.50886,127.06307,화장실
삼성역(2),서울특별시 강남구 테헤란로 538 (공중화장실),37.5045,127.04894,화장실
선릉역(2),서울특별시 강남구 테헤란로 지하340 (공중화장실),37.50072,127.03662,화장실
역삼역(2),서울특별시 강남구 테헤란로 지하156 (공중화장실),37.49817,127.02831,화장실
강남역(2),서울특별시 강남구 강남대로 지하396 (공중화장실),37.52643,127.02848,화장실
압구정역(3),서울특별시 강남구 압구정로 지하172 (공중화장실),37.51643,127.02033,화장실
신사역(3),서울특별시 강남구 도산대로 지하102 (공중화장실),37.48696,127.04662,화장실
매봉역(3),서울특별시 강남구 남부순환로 지하2744 (공중화장실),37.49087,127.05532,화장실
도곡역(3),서울특별시 강남구 남부순환로 지하2814 (공중화장실),37.49456,127.06343,화장실
대치역(3),서울특별시 강남구 남부순환로 지하2952 (공중화장실),37.49672,127.07172,화장실
학여울역(3),서울특별시 강남구 남부순환로 지하3104 (공중화장실),37.49372,127.07949,화장실
대청역(3),서울특별시 강남구 일원로 지하2 (공중화장실),37.48407,127.08445,화장실
일원역(3),서울특별시 강남구 일원로 지하121 (공중화장실),37.48739,127.10186,화장실
수서역(3),서울특별시 강남구 광평로 지하270 (공중화장실),37.51944,127.05365,화장실
청담역(7),서울특별시 강남구 학동로 지하508 (공중화장실),37.51719,127.0413,화장실
강남구청역(7),서울특별시 강남구 학동로 지하346 (공중화장실),37.51421,127.03146,화장실
학동역(7),서울특별시 강남구 학동로 지하180 (공중화장실),37.50605,127.02399,화장실
논현역(7),서울특별시 강남구 강남대로 492-2 (공중화장실),37.49817,127.02831,화장실
논현역(7),서울특별시 강남구 강남대로 492-2 (공중화장실),37.49778,127.08248,화장실
강남역 지하상가1,서울특별시 강남대로 지하396 (공중화장실),37.50944,127.04195,화장실
강남역 지하상가2,서울특별시 강남대로 지하396 (공중화장실),37.48541,127.05471,화장실
마루공원 원형 화장실,서울특별시 강남구 개포로625 (공중화장실),37.48541,127.05471,화장실
마루공원 야외 화장실,서울특별시 강남구 개포로625 (공중화장실),37.48463,127.05609,화장실
에코파크 관리동 화장실,서울특별시 강남구 개포로625 (공중화장실),37.48328,127.05439,화장실
에코파크 야외 화장실,서울특별시 강남구 개포로625 (공중화장실),37.48914,127.07087,화장실
강남구비즈니스센터,서울특별시 봉은사로 320 (공중화장실),37.48869,127.06685,화장실
경남1차상가,서울특별시 언주로 110 (개방화장실),37.48876,127.06733,화장실
경남2차상가,서울특별시 언주로110 (개방화장실),37.48891,127.06663,화장실
개포우성3차(아) 상가,서울특별시 개포로 307 (개방화장실),37.48856,127.06744,화장실
현대1차아파트 상가,서울특별시 개포로303 (개방화장실),37.48875,127.06812,화장실
개포7단지상가,서울특별시 개포로 516 (개방화장실),37.48914,127.06752,화장실
개포빌딩,서울특별시 삼성로 38 (개방화장실),37.48359,127.05196,화장실
삼성빌딩,서울특별시 개포로 82길 7 (개방화장실),37.47679,127.05593,화장실
청송빌딩,서울특별시 삼성로 40 (개방화장실),37.47237,127.05171,화장실
삼우빌딩(개포5단지),서울특별시 개포로82길 11 (개방화장실),37.47532,127.0504,화장실
장우빌딩,서울특별시 개포로82길 13-11 (개방화장실),37.47621,127.04957,화장실
청우빌딩,서울특별시 개포로 506 (개방화장실),37.47874,127.04814,화장실
우성빌딩,서울특별시 언주로 107 (개방화장실),37.4792,127.04967,화장실
개포우성6차(아) 상가,서울특별시 언주로 3 (개방화장실),37.47921,127.04985,화장실
개포주유소,서울특별시 양재대로 339 (개방화장실),37.47954,127.05014,화장실
전남친환경유통센터빌딩,서울특별시 논현로10길 29 (개방화장실),37.47719,127.04805,화장실
연우빌딩,서울특별시 개포로22길46 (개방화장실),37.47853,127.04912,화장실
희영빌딩,서울특별시 개포로 232 (개방화장실),37.47846,127.04975,화장실
신영빌딩,서울특별시 개포로 249 (개방화장실),37.47773,127.04809,화장실
남강빌딩,서울특별시 개포로 251 (개방화장실),37.47822,127.04757,화장실
강남동산교회,서울특별시 개포로 257 (개방화장실),37.47858,127.05548,화장실
대가,서울특별시 개포로 20길 26 (개방화장실),37.51853,127.02824,화장실
밀란,서울특별시 개포로 28길 4 (개방화장실),37.5131,127.02086,화장실
리엔,서울특별시 개포로 28길 9 (개방화장실),37.51503,127.02303,화장실
영동올뱅이집,서울특별시 개포로 22길 16 (개방화장실),37.51448,127.02924,화장실
SP타이어,서울특별시 개포로 22길 8 (개방화장실),37.51143,127.02336,화장실
개포자이르네이마트,서울특별시 언주로7길6 (개방화장실),37.51052,127.02354,화장실
SK주유소,서울특별시 논현로 747 (개방화장실),37.51068,127.0246,화장실
전기공사공제조합,서울특별시 강남대로 574 (개방화장실),37.51221,127.02856,화장실
논현아파트 상가,서울특별시 강남대로146길 28 (개방화장실),37.51357,127.03054,화장실
늘사랑교회,서울특별시 강남대로146길 28 (개방화장실),37.51006,127.02296,화장실
서린빌딩,서울특별시 논현로131길12 (개방화장실),37.52031,127.03398,화장실
114빌딩(베스트프랜드㈜),서울특별시 학동로 114 (개방화장실),37.5193,127.03445,화장실
동화히스토리,서울특별시 학동로4길 15 (개방화장실),37.51679,127.03493,화장실
논현1호 주차장,서울특별시 학동로6길 19 (개방화장실),37.51938,127.0352,화장실
논현2호 주차장,서울특별시 학동로20길 13 (개방화장실),37.51322,127.0315,화장실
진우빌딩,서울특별시 논현로 667 (개방화장실),37.51279,127.03503,화장실
세일빌딩,서울특별시 학동로2길 19 (개방화장실),37.51074,127.03274,화장실
나누리병원,서울특별시 언주로 731 (개방화장실),37.50994,127.03668,화장실
보전빌딩,서울특별시 언주로 725 (개방화장실),37.50886,127.03778,화장실
송암빌딩,서울특별시 언주로 709 (개방화장실),37.51676,127.04084,화장실
두산빌딩,서울특별시 언주로 726 (개방화장실),37.51695,127.03717,화장실
헤리츠타워(컨벤션헤리츠),서울특별시 논현로 662 (개방화장실),37.49071,127.05614,화장실
마샬빌딩(강남지인병원),서울특별시 언주로631 (개방화장실),37.49316,127.063,화장실
SK힐탑 주유소,서울특별시 논현로 640 (개방화장실),37.49335,127.06192,화장실
팍스타워,서울특별시 언주로 609 (개방화장실),37.49365,127.06232,화장실
파크랜드빌딩,서울특별시 언주로 601 (개방화장실),37.49388,127.06295,화장실
SK 허브블루,서울특별시 학동로 342 (개방화장실),37.49629,127.0606,화장실
G빌딩(펀비어킹),서울특별시 언주로 134길 19 (개방화장실),37.49368,127.06036,화장실
그랑프리엔,서울특별시 남부순환로 2912 (개방화장실),37.49349,127.05977,화장실
선경상가,서울특별시 삼성로 151 (개방화장실),37.49317,127.05917,화장실
윈플러스상가,서울특별시 남부순환로 2936 (개방화장실),37.49294,127.05888,화장실
대치풍림빌딩,서울특별시 남부순환로 2942 (개방화장실),37.49275,127.05853,화장실
대치퍼스트빌딩,서울특별시 삼성로155 (개방화장실),37.49305,127.0583,화장실
카이로스빌딩,서울특별시 삼성로51길11 (개방화장실),37.49353,127.05656,화장실
대치클래시아,서울특별시 남부순환로 2927 (개방화장실),37.49218,127.05741,화장실
남서울종합시장,서울특별시 남부순환로2921 (개방화장실),37.49243,127.05796,화장실
청실종합상가,서울특별시 남부순환로 2917 (개방화장실),37.49664,127.05885,화장실
우일상가,서울특별시 남부순환로 2915 (개방화장실),37.49811,127.06001,화장실
동하빌딩,서울특별시 남부순환로 2913 (개방화장실),37.49662,127.05523,화장실
㈜동하개발 메디컬센터,서울특별시 남부순환로 397길 57 (개방화장실),37.49886,127.07137,화장실
성은교회,서울특별시 남부순환로391길 25 (개방화장실),37.49945,127.04467,화장실
여천빌딩,서울특별시 남부순환로 2909 (개방화장실),37.5008,127.04308,화장실
청우빌딩,서울특별시 남부순환로 2911 (개방화장실),37.50057,127.04238,화장실
대치삼성(아) 상가,서울특별시 도곡로78길 22 (개방화장실),37.49792,127.04297,화장실
강남메이저의원(구 미즈메디병원),서울특별시 도곡로 452 (개방화장실),37.49924,127.04842,화장실
D'mark빌딩,서울특별시 도곡로 408 (개방화장실),37.49589,127.04648,화장실
쌍용(아)종합 상가,서울특별시 영동대로 210 (개방화장실),37.49577,127.03963,화장실
역삼자이상가,서울특별시 언주로 408 (개방화장실),37.49489,127.04584,화장실
개나리 주유소,서울특별시 언주로 423 (개방화장실),37.49417,127.04551,화장실
경남상가,서울특별시 언주로85길 13 (개방화장실),37.49339,127.04304,화장실
대건빌딩 하나이비인후과,서울특별시 역삼로 245 (개방화장실),37.48483,127.0934,화장실
한솔필리아,서울특별시 역삼로 310 (개방화장실),37.48567,127.0899,화장실
강남프라자,서울특별시 언주로314 (개방화장실),37.48549,127.0866,화장실
정도빌딩,서울특별시 논현로 340 (개방화장실),37.48484,127.08978,화장실
매봉주유소,서울특별시 언주로 307 (개방화장실),37.48476,127.08088,화장실
명품주유소,서울특별시 도곡로 249 (개방화장실),37.48553,127.0848,화장실
윤화돈까스,서울특별시 도곡로221 (개방화장실),37.4852,127.08267,화장실
태화기독교사회복지관,서울특별시 광평로 185 (개방화장실),37.48263,127.07652,화장실
서울충신교회,서울특별시 광평로31길 40 (개방화장실),37.49521,127.08583,화장실
까치마을 상가,서울특별시 광평로19길 10 (개방화장실),37.49575,127.0751,화장실
수서삼성(아) 상가,서울특별시 광평로31길 27 (개방화장실),37.49419,127.07522,화장실
푸른마을 상가,서울특별시 일원로14길 25 (개방화장실),37.49434,127.07965,화장실
목련타운(아) 상가,서울특별시 광평로19길 15 (개방화장실),37.49421,127.07765,화장실
샘터상가,서울특별시 일원로 120 (개방화장실),37.49845,127.07757,화장실
한솔(아) 상가,서울특별시 광평로10길 6 (개방화장실),37.4977,127.07548,화장실
유성빌딩(대청카센터),서울특별시 개포로 140길 6 (개방화장실),37.51764,127.04167,화장실
석탑플라자,서울특별시 개포로 109길 9 (개방화장실),37.52019,127.05546,화장실
대치2단지상가,서울특별시 개포동 12 (개방화장실),37.52509,127.0513,화장실
대청타워,서울특별시 개포로 623 (개방화장실),37.52291,127.05649,화장실
대청프라자,서울특별시 개포로109길 34 (개방화장실),37.52048,127.05758,화장실
학여울주유소,서울특별시 남부순환로 3170 (개방화장실),37.52245,127.05762,화장실
남서울가스,서울특별시 남부순환로 3154 (개방화장실),37.46999,127.10948,화장실
금하빌딩,서울특별시 학동로 401 (개방화장실),37.47892,127.04678,화장실
에이치케이웨딩홀,서울특별시 학동로 519 (개방화장실),37.46657,127.09557,화장실
원앙빌딩(한국마사회강남지점),서울특별시 도산대로 529 (개방화장실),37.46921,127.09313,화장실
신한양상가,서울특별시 영동대로138길 9 (개방화장실),37.52109,127.05323,화장실
화천회관빌딩,서울특별시 영동대로 702 (개방화장실),37.4921,127.0882,화장실
삼익쇼핑,서울특별시 학동로101길 26 (개방화장실),37.49198,127.07317,화장실
세곡해오름근린공원,서울특별시 강남구 세곡동214 (공중화장실),37.49604,127.0758,화장실
포이근린공원(출발마당),서울특별시 강남구 개포동 1248 (공중화장실),37.48072,127.08076,화장실
세천근린공원,서울특별시 강남구 세곡동603 (공중화장실),37.48754,127.10542,화장실
세곡근린공원,서울특별시 강남구 세곡동 산50-15 (공중화장실),37.48019,127.08082,화장실
청담근린공원,서울특별시 강남구 청담동 66-3 (공중화장실),37.47846,127.07354,화장실
일원까치어린이공원,서울특별시 강남구 일원동 712-4 (공중화장실),37.47223,127.05978,화장실
예지어린이공원,서울특별시 강남구 개포동 12-7 (공중화장실),37.47252,127.06646,화장실
한마음어린이공원,서울특별시 강남구 개포동 12-3 (공중화장실),37.47482,127.06931,화장실
일원장미어린이공원,서울특별시 강남구 일원동 732-4 (공중화장실),37.47325,127.07122,화장실
수서개나리어린이공원,서울특별시 강남구 수서동723-1 (공중화장실),37.47379,127.07088,화장실
자연학습장,서울특별시 강남구 일원동 산56 (공중화장실),37.48539,127.07559,화장실
유아숲체험장,서울특별시 강남구 일원동 산52-13 (공중화장실),37.47932,127.07154,화장실
개암약수터,서울특별시 강남구 개포동 산53-40 (공중화장실),37.47755,127.07533,화장실
천의약수터,서울특별시 강남구 개포동 산 53-30 (공중화장실),37.47971,127.07956,화장실
대룡약수터,서울특별시 강남구 개포동 118-21 (공중화장실),37.48208,127.04768,화장실
구룡천약수터,서울특별시 강남구 개포동 산 53-28 (공중화장실),37.48427,127.05024,화장실
습지원약수터,서울특별시 강남구 개포동 산53-42 (공중화장실),37.48775,127.0589,화장실
옛1약수터,서울특별시 강남구 일원동 산52-13 (공중화장실),37.486,127.05431,화장실
용두천약수터,서울특별시 강남구 개포동 192 (공중화장실),37.49409,127.07185,화장실
옥수천약수터,서울특별시 강남구 개포동 산 53-32 (공중화장실),37.50044,127.07484,화장실
불국사둘레길,서울특별시 강남구 일원동 441 (공중화장실),37.50036,127.08086,화장실
대모산숲속야생화원,서울특별시 강남구 일원동 246-13 (공중화장실),37.50172,127.07146,화장실
양재천(영동2교),서울특별시 강남구 개포동1279 (공중화장실),37.49268,127.09959,화장실
양재천(밀리미교),서울특별시 강남구 도곡동 468 (공중화장실),37.47254,127.11915,화장실
양재천(영동3교),서울특별시 강남구 개포동175 (공중화장실),37.46212,127.11704,화장실
양재천(영동4교),서울특별시 강남구 개포동648-2 (공중화장실),37.46595,127.10035,화장실
양재천(영동6교),서울특별시 강남구 대치동805 (공중화장실),37.46228,127.1046,화장실
탄천양재천방문자센터,서울특별시 강남구 대치동3-3 (공중화장실),37.50304,127.05413,화장실
탄천(탄천1교),서울특별시 강남구 일원동580-3 (공중화장실),37.50979,127.04322,화장실
탄천(탄천2교),서울특별시 강남구 대치동78-28 (공중화장실),37.49454,127.04183,화장실
탄천(광평교),서울특별시 강남구 수서동329-34 (공중화장실),37.505,127.05191,화장실
탄천(대곡교),서울특별시 강남구 율현동94 (공중화장실),37.48812,127.10307,화장실
세곡천(세곡3교),서울특별시 강남구 세곡동54 (공중화장실),37.49915,127.0431,화장실
세곡천(세곡1교),서울특별시 강남구 세곡동618 (공중화장실),37.5145,127.04098,화장실
