name,address,lat,lng,category,,
쌍용플래티넘,서울특별시 봉은사로 474 (개방화장실),37.511885 ,127.053593 ,1,,
GS칼텍스㈜삼성로점,서울특별시 삼성로 563 (개방화장실),37.509303 ,127.053570 ,1,,
삼성파크아파트,서울특별시 삼성로99길 14 (개방화장실),37.506024 ,127.048995 ,1,,
덕우빌딩,서울특별시 선릉로94길 7 (개방화장실),37.489128 ,127.104813 ,1,,
수서파출소,서울특별시 강남구 밤고개로1길 48 (공중화장실),37.465176 ,127.107362 ,1,,
대왕파출소,서울특별시 강남구 헌릉로 623 (공중화장실),37.494131 ,127.078783 ,1,,
서울주택도시공사 본관화장실,서울특별시 강남구 개포로 621 (공중화장실),37.472529 ,127.115295 ,1,,
율현3공원,서울특별시 강남구 율현동 77-2 (공중화장실),37.504634 ,127.025031 ,1,,
신논현역,서울특별시 강남구 봉은사로 지하102 (공중화장실),37.508862 ,127.063073 ,1,,
삼성역(2),서울특별시 강남구 테헤란로 538 (공중화장실),37.504503 ,127.048943 ,1,,
선릉역(2),서울특별시 강남구 테헤란로 지하340 (공중화장실),37.500716 ,127.036618 ,1,,
역삼역(2),서울특별시 강남구 테헤란로 지하156 (공중화장실),37.498165 ,127.028308 ,1,,
강남역(2),서울특별시 강남구 강남대로 지하396 (공중화장실),37.526431 ,127.028481 ,1,,
압구정역(3),서울특별시 강남구 압구정로 지하172 (공중화장실),37.516432 ,127.020327 ,1,,
신사역(3),서울특별시 강남구 도산대로 지하102 (공중화장실),37.486961 ,127.046615 ,1,,
매봉역(3),서울특별시 강남구 남부순환로 지하2744 (공중화장실),37.490865 ,127.055323 ,1,,
도곡역(3),서울특별시 강남구 남부순환로 지하2814 (공중화장실),37.494563 ,127.063430 ,1,,
대치역(3),서울특별시 강남구 남부순환로 지하2952 (공중화장실),37.496717 ,127.071719 ,1,,
학여울역(3),서울특별시 강남구 남부순환로 지하3104 (공중화장실),37.493722 ,127.079494 ,1,,
대청역(3),서울특별시 강남구 일원로 지하2 (공중화장실),37.484074 ,127.084452 ,1,,
일원역(3),서울특별시 강남구 일원로 지하121 (공중화장실),37.487389 ,127.101859 ,1,,
수서역(3),서울특별시 강남구 광평로 지하270 (공중화장실),37.519441 ,127.053645 ,1,,
