화장실명,주소-좌표,lat,lng,주소,구분
옥산빌딩,서울특별시 봉은사로 612,37.5142810376461,127.062146778337,서울특별시 테헤란로 503,개방화장실
광동한방병원,서울특별시 테헤란로 619,37.5099155151471,127.065115207351,서울특별시 봉은사로 612,개방화장실
현대삼성동주유소,서울특별시 테헤란로 625,37.5101503390692,127.066048979299,서울특별시 테헤란로 619,개방화장실
덕명빌딩,서울특별시 선릉로 638,37.5135082582568,127.042864956551,서울특별시 테헤란로 625,개방화장실
예림빌딩,서울특별시 선릉로 608,37.511236115919,127.043819973135,서울특별시 선릉로 638,개방화장실
선진빌딩,서울특별시 선릉로 602,37.5106453453276,127.044013943312,서울특별시 선릉로 608,개방화장실
삼릉빌딩,서울특별시 봉은사로 413,37.5110194289896,127.045241704949,서울특별시 선릉로 602,개방화장실
백영삼릉빌딩,서울특별시 봉은사로 469,37.5125880736373,127.050791985991,서울특별시 봉은사로 413,개방화장실
S-TOWER,서울특별시 삼성로 605,37.5134844497251,127.052717611728,서울특별시 봉은사로 469,개방화장실
스타벅스,서울특별시 봉은사로 474,37.5123672407678,127.052026639291,서울특별시 삼성로 605,개방화장실
쌍용플래티넘,서울특별시 삼성로 563,37.5118848636563,127.053592956974,서울특별시 봉은사로 474,개방화장실
GS칼텍스㈜삼성로점,서울특별시 삼성로99길 14,37.5093032260179,127.053570300116,서울특별시 삼성로 563,개방화장실
삼성파크아파트,서울특별시 선릉로94길 7,37.5060243834267,127.048994811304,서울특별시 삼성로99길 14,개방화장실
덕우빌딩,서울특별시 강남구 밤고개로1길 48,37.489127606674,127.104813214036,서울특별시 선릉로94길 7,개방화장실
수서파출소,서울특별시 강남구 헌릉로 623,37.4651760424395,127.10736243987,서울특별시 강남구 밤고개로1길 48,공중화장실
대왕파출소,서울특별시 강남구 개포로 621,37.4941313928275,127.078783141187,서울특별시 강남구 헌릉로 623,공중화장실
서울주택도시공사 본관화장실,서울특별시 강남구 율현동 77-2,37.4725288328544,127.115295258211,서울특별시 강남구 개포로 621,공중화장실
율현3공원,서울특별시 강남구 봉은사로 지하102,37.5046341625192,127.025031333453,서울특별시 강남구 율현동 77-2,공중화장실
신논현역,서울특별시 강남구 테헤란로 538,37.5088619974404,127.063073009788,서울특별시 강남구 봉은사로 지하102,공중화장실
삼성역(2),서울특별시 강남구 테헤란로 지하340,37.5045028775835,127.048942471228,서울특별시 강남구 테헤란로 538,공중화장실
선릉역(2),서울특별시 강남구 테헤란로 지하156,37.5007162693593,127.036618203089,서울특별시 강남구 테헤란로 지하340,공중화장실
역삼역(2),서울특별시 강남구 강남대로 지하396,37.4981646510326,127.028307900881,서울특별시 강남구 테헤란로 지하156,공중화장실
강남역(2),서울특별시 강남구 압구정로 지하172,37.5264308236177,127.028480919224,서울특별시 강남구 강남대로 지하396,공중화장실
압구정역(3),서울특별시 강남구 도산대로 지하102,37.5164324582415,127.020326886309,서울특별시 강남구 압구정로 지하172,공중화장실
신사역(3),서울특별시 강남구 남부순환로 지하2744,37.4869611285839,127.046614560925,서울특별시 강남구 도산대로 지하102,공중화장실
매봉역(3),서울특별시 강남구 남부순환로 지하2814,37.4908647717187,127.05532337372,서울특별시 강남구 남부순환로 지하2744,공중화장실
도곡역(3),서울특별시 강남구 남부순환로 지하2952,37.4945627553067,127.063430193449,서울특별시 강남구 남부순환로 지하2814,공중화장실
대치역(3),서울특별시 강남구 남부순환로 지하3104,37.4967171864138,127.071718971861,서울특별시 강남구 남부순환로 지하2952,공중화장실
학여울역(3),서울특별시 강남구 일원로 지하2,37.4937218597788,127.079493645766,서울특별시 강남구 남부순환로 지하3104,공중화장실
대청역(3),서울특별시 강남구 일원로 지하121,37.4840735840284,127.084451750048,서울특별시 강남구 일원로 지하2,공중화장실
일원역(3),서울특별시 강남구 광평로 지하270,37.4873889933503,127.101859191018,서울특별시 강남구 일원로 지하121,공중화장실
수서역(3),서울특별시 강남구 학동로 지하508,37.5194406566749,127.053644513011,서울특별시 강남구 광평로 지하270,공중화장실
청담역(7),서울특별시 강남구 학동로 지하346,37.5171892352971,127.04130142966,서울특별시 강남구 학동로 지하508,공중화장실
강남구청역(7),서울특별시 강남구 학동로 지하180,37.5142064294604,127.031463762217,서울특별시 강남구 학동로 지하346,공중화장실
학동역(7),서울특별시 강남구 강남대로 492-2,37.5060527417451,127.023986887753,서울특별시 강남구 학동로 지하180,공중화장실
논현역(7),서울특별시 강남대로 지하396,37.4981646510326,127.028307900881,서울특별시 강남구 강남대로 492-2,공중화장실
논현역(7),서울특별시 강남구 개포로625,37.4977811922812,127.08247618794,서울특별시 강남구 강남대로 492-2,공중화장실
강남역 지하상가1,서울특별시 봉은사로 320,37.5094416333449,127.041950448406,서울특별시 강남대로 지하396,공중화장실
강남역 지하상가2,서울특별시 언주로 110,37.4854108088377,127.054704829281,서울특별시 강남대로 지하396,공중화장실
마루공원 원형 화장실,서울특별시 언주로110,37.4854108088377,127.054704829281,서울특별시 강남구 개포로625,공중화장실
마루공원 야외 화장실,서울특별시 개포로 307,37.4846310565134,127.056092038196,서울특별시 강남구 개포로625,공중화장실
에코파크 관리동 화장실,서울특별시 개포로303,37.4832803381496,127.054393140278,서울특별시 강남구 개포로625,공중화장실
에코파크 야외 화장실,서울특별시 개포로 516,37.4891406792843,127.070871480537,서울특별시 강남구 개포로625,공중화장실
강남구비즈니스센터,서울특별시 삼성로 38,37.4886879268822,127.066845330996,서울특별시 봉은사로 320,공중화장실
경남1차상가,서울특별시 개포로 82길 7,37.4887548651537,127.067332959895,서울특별시 언주로 110,개방화장실
경남2차상가,서울특별시 삼성로 40,37.4889060050767,127.066625033215,서울특별시 언주로110,개방화장실
개포우성3차(아) 상가,서울특별시 개포로82길 11,37.4885582921416,127.067443820505,서울특별시 개포로 307,개방화장실
현대1차아파트 상가,서울특별시 개포로82길 13-11,37.4887469377421,127.06811631999,서울특별시 개포로303,개방화장실
개포7단지상가,서울특별시 개포로 506,37.4891418305896,127.067521234936,서울특별시 개포로 516,개방화장실
개포빌딩,서울특별시 언주로 107,37.4835863365345,127.0519554575,서울특별시 삼성로 38,개방화장실
삼성빌딩,서울특별시 언주로 3,37.4767921771121,127.055925867398,서울특별시 개포로 82길 7,개방화장실
청송빌딩,서울특별시 양재대로 339,37.4723695996899,127.051706222102,서울특별시 삼성로 40,개방화장실
삼우빌딩(개포5단지),서울특별시 논현로10길 29,37.4753216045886,127.050395378069,서울특별시 개포로82길 11,개방화장실
장우빌딩,서울특별시 개포로22길46,37.4762126909641,127.049572379797,서울특별시 개포로82길 13-11,개방화장실
청우빌딩,서울특별시 개포로 232,37.4787380026772,127.048138103828,서울특별시 개포로 506,개방화장실
우성빌딩,서울특별시 개포로 249,37.4791952622512,127.049668301391,서울특별시 언주로 107,개방화장실
개포우성6차(아) 상가,서울특별시 개포로 251,37.4792118566455,127.049844683283,서울특별시 언주로 3,개방화장실
개포주유소,서울특별시 개포로 257,37.479536905391,127.05014122621,서울특별시 양재대로 339,개방화장실
전남친환경유통센터빌딩,서울특별시 개포로 20길 26,37.477185869234,127.048050960145,서울특별시 논현로10길 29,개방화장실
연우빌딩,서울특별시 개포로 28길 4,37.4785314479201,127.049119308264,서울특별시 개포로22길46,개방화장실
희영빌딩,서울특별시 개포로 28길 9,37.4784600956478,127.049747067873,서울특별시 개포로 232,개방화장실
신영빌딩,서울특별시 개포로 22길 16,37.4777334875266,127.048088506213,서울특별시 개포로 249,개방화장실
남강빌딩,서울특별시 개포로 22길 8,37.4782187093245,127.047573617394,서울특별시 개포로 251,개방화장실
강남동산교회,서울특별시 언주로7길6,37.4785781862112,127.055483787574,서울특별시 개포로 257,개방화장실
대가,서울특별시 논현로 747,37.5185333217982,127.028244442649,서울특별시 개포로 20길 26,개방화장실
밀란,서울특별시 강남대로 574,37.5131026155616,127.020859407074,서울특별시 개포로 28길 4,개방화장실
리엔,서울특별시 강남대로146길 28,37.5150254952533,127.023030453954,서울특별시 개포로 28길 9,개방화장실
영동올뱅이집,서울특별시 논현로131길12,37.5144764016439,127.029237615847,서울특별시 개포로 22길 16,개방화장실
SP타이어,서울특별시 학동로 114,37.5114321366533,127.023357472839,서울특별시 개포로 22길 8,개방화장실
개포자이르네이마트,서울특별시 학동로4길 15,37.5105152390861,127.023536119994,서울특별시 언주로7길6,개방화장실
SK주유소,서울특별시 학동로6길 19,37.5106817977624,127.024602306929,서울특별시 논현로 747,개방화장실
전기공사공제조합,서울특별시 학동로20길 13,37.5122073879479,127.028563172387,서울특별시 강남대로 574,개방화장실
논현아파트 상가,서울특별시 논현로 667,37.5135684003677,127.03054130783,서울특별시 강남대로146길 28,개방화장실
늘사랑교회,서울특별시 학동로2길 19,37.5100607055782,127.022960047655,서울특별시 강남대로146길 28,개방화장실
서린빌딩,서울특별시 언주로 731,37.5203066071262,127.033979290041,서울특별시 논현로131길12,개방화장실
114빌딩(베스트프랜드㈜),서울특별시 언주로 725,37.5192980678283,127.034451103421,서울특별시 학동로 114,개방화장실
동화히스토리,서울특별시 언주로 709,37.5167917870953,127.03492774877,서울특별시 학동로4길 15,개방화장실
논현1호 주차장,서울특별시 언주로 726,37.5193816410498,127.035197500084,서울특별시 학동로6길 19,개방화장실
논현2호 주차장,서울특별시 논현로 662,37.5132202706911,127.031500900601,서울특별시 학동로20길 13,개방화장실
진우빌딩,서울특별시 언주로631,37.5127908498374,127.035028360898,서울특별시 논현로 667,개방화장실
세일빌딩,서울특별시 논현로 640,37.5107346951545,127.032734745238,서울특별시 학동로2길 19,개방화장실
나누리병원,서울특별시 언주로 609,37.5099425446578,127.036678130998,서울특별시 언주로 731,개방화장실
보전빌딩,서울특별시 언주로 601,37.5088631539282,127.037780922475,서울특별시 언주로 725,개방화장실
송암빌딩,서울특별시 학동로 342,37.5167560126387,127.040841265738,서울특별시 언주로 709,개방화장실
두산빌딩,서울특별시 언주로 134길 19,37.5169531022946,127.03717282121,서울특별시 언주로 726,개방화장실
헤리츠타워(컨벤션헤리츠),서울특별시 남부순환로 2912,37.4907059879875,127.056142941592,서울특별시 논현로 662,개방화장실
마샬빌딩(강남지인병원),서울특별시 삼성로 151,37.493154981993,127.062999980103,서울특별시 언주로631,개방화장실
SK힐탑 주유소,서울특별시 남부순환로 2936,37.4933489108525,127.06191661451,서울특별시 논현로 640,개방화장실
팍스타워,서울특별시 남부순환로 2942,37.4936457600425,127.062321346803,서울특별시 언주로 609,개방화장실
파크랜드빌딩,서울특별시 삼성로155,37.4938813994708,127.062951852624,서울특별시 언주로 601,개방화장실
SK 허브블루,서울특별시 삼성로51길11,37.49629417224,127.060603087334,서울특별시 학동로 342,개방화장실
G빌딩(펀비어킹),서울특별시 남부순환로 2927,37.4936757916501,127.060358414855,서울특별시 언주로 134길 19,개방화장실
