이름,음식이 맛있어요,인테리어가 멋져요,친절해요,가성비가 좋아요,재료가 신선해요,뷰가 좋아요,매장이 청결해요,특별한 날 가기 좋아요,혼밥하기 좋아요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요,화장실이 깨끗해요,주차하기 편해요,대화하기 좋아요,오래 머무르기 좋아요,음악이 좋아요,술이 다양해요,차분한 분위기에요,아늑해요,고기 질이 좋아요,사진이 잘 나와요,혼술하기 좋아요,음료가 맛있어요,기본 안주가 좋아요,빵이 맛있어요,커피가 맛있어요,집중하기 좋아요,좌석이 편해요,디저트가 맛있어요,비싼 만큼 가치있어요,룸이 잘 되어있어요,반려동물과 가기 좋아요,현지 맛에 가까워요,메뉴 구성이 알차요,야외 공간이 멋져요,컨셉이 독특해요,점수
달마시안,0.0473463825569871,0.0539846382556987,0.0184504459861249,0.00195242814667988,0.0121050545094153,0.0204028741328048,0.0123979187314172,0.0237220019821606,0.0000976214073339941,0.0143503468780971,0.00478344895936571,0.00410009910802775,0.0184504459861249,0.00605252725470763,0.00136669970267592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239562933597621
틴틴 강남점,0.0422384279475983,0.0317109170305677,0.0228524017467249,0.000256768558951965,0.00950043668122271,0.00397991266375546,0.0138655021834061,0.0116829694323144,0.000770305676855895,0.0164331877729258,0.00552052401746725,0.000128384279475983,0.0136087336244541,0.00397991266375546,0,0,0,0,0,0,0,0,0,0,0.00757467248908297,0,0,0,0,0,0,0,0,0.00141222707423581,0,0.00757467248908297,0,0,0.193089956331878
다운타우너 청담,0.59532602739726,0.109605479452055,0.17918904109589,0.0313808219178082,0.183282191780822,0.00773150684931507,0.0977808219178082,0.0213753424657534,0.0682191780821918,0.157358904109589,0.00636712328767123,0.0441150684931507,0.0386575342465753,0.0186465753424658,0.0154630136986301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57449863013699
마사 타코,0.0881948339483395,0.00708708487084871,0.0259859778597786,0.00984317343173432,0.0220487084870849,0.000393726937269373,0.0086619926199262,0.00354354243542435,0.00551217712177122,0.0255922509225092,0.00354354243542435,0.0177177121771218,0.00314981549815498,0.00236236162361624,0.00157490774907749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225211808118081
어썸로즈,0.513016649848638,0.330145408678103,0.40482946518668,0.187757114026236,0.136106458123108,0.0216374369323915,0.195434914228052,0.324561553985873,0.00558385469223007,0.0942275479313824,0.0188455095862765,0.0732880928355197,0.0397849646821393,0.0977174571140262,0.0321071644803229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47504359233098
위트앤미트 강남점,0.0760659016393443,0.033172349726776,0.0259566120218579,0.00210459016393443,0.0208454644808743,0.0011024043715847,0.0168367213114754,0.00501092896174863,0.00811770491803279,0.0379828415300546,0.000601311475409836,0.00701530054644809,0.00420918032786885,0.00230502732240437,0.00270590163934426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244032240437158
에이치피 서울,0.0227279069767442,0.0211604651162791,0.0142637209302326,0.00203767441860465,0.00438883720930233,0.00282139534883721,0.0114423255813953,0.00564279069767442,0.000470232558139535,0.00893441860465116,0.00203767441860465,0.00235116279069767,0.00674,0.00360511627906977,0,0.00219441860465116,0.00125395348837209,0.00564279069767442,0.00235116279069767,0,0,0,0,0.000783720930232558,0,0.000156744186046512,0,0,0,0,0,0,0,0,0,0,0,0,0.121006511627907
호쿠모쿠,0.05616,0.02322,0.0189,0.00486,0.00972,0.00648,0.00702,0.0081,0,0.01998,0.00216,0.01188,0.00432,0.00054,0.00486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1782
돈페페,0.014637,0.00287,0.009184,0.003157,0,0,0.000861,0,0,0.004018,0.003444,0,0,0.001148,0,0.006314,0.003157,0.001148,0.008036,0,0,0,0,0.000574,0,0.003157,0,0,0,0,0,0,0,0,0,0,0,0,0.061705
비단콤마,0.0425142857142857,0.0420571428571429,0.0374857142857143,0.0032,0.0137142857142857,0.0032,0.0292571428571429,0.00182857142857143,0.00182857142857143,0.0205714285714286,0.00137142857142857,0.00411428571428571,0.0114285714285714,0.00457142857142857,0.00822857142857143,0.0100571428571429,0,0,0,0,0,0,0.00411428571428571,0,0.00502857142857143,0,0,0.0128,0.00365714285714286,0.00685714285714286,0.00548571428571429,0,0,0,0,0,0,0,0.273371428571429
오마주,0.00354375,0.0030375,0.0030375,0,0,0,0.0016875,0.00016875,0,0.00151875,0.00016875,0,0,0,0,0.00151875,0.000675,0.00084375,0.00084375,0,0,0,0,0,0,0.00084375,0,0,0,0,0,0,0,0,0,0,0,0,0.0178875
아트나인&잇나인,0,0.0701711610486891,0.0538205992509363,0.0170318352059925,0,0.0953782771535581,0.0354262172284644,0,0,0.0470078651685393,0,0,0,0.0211194756554307,0.0149880149812734,0.0449640449438202,0,0,0,0,0,0,0.0190756554307116,0,0.0279322097378277,0,0,0.027250936329588,0.0211194756554307,0.0361074906367041,0.0163505617977528,0,0,0,0,0,0,0,0.547743820224719
바이슨버거,0.0333857142857143,0.00468571428571429,0.00585714285714286,0.0041,0.0117142857142857,0,0.00702857142857143,0,0.00702857142857143,0.0041,0,0.00527142857142857,0.000585714285714286,0,0.00117142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849285714285714
3공간 사당,0.0125653846153846,0.0154211538461538,0.0108519230769231,0.00171346153846154,0,0,0.00285576923076923,0,0,0.00342692307692308,0.0125653846153846,0,0,0.00456923076923077,0.000571153846153846,0.0154211538461538,0.00399807692307692,0.00114230769230769,0.007425,0,0,0,0.00571153846153846,0,0,0.00285576923076923,0,0,0,0,0,0,0.00799615384615385,0.000571153846153846,0,0,0,0,0.109661538461538
