이름,lat,lng,음식이 맛있어요,인테리어가 멋져요,친절해요,가성비가 좋아요,재료가 신선해요,뷰가 좋아요,매장이 청결해요,특별한 날 가기 좋아요,혼밥하기 좋아요,특별한 메뉴가 있어요,단체모임 하기 좋아요,양이 많아요,매장이 넓어요,화장실이 깨끗해요,주차하기 편해요,대화하기 좋아요,오래 머무르기 좋아요,음악이 좋아요,술이 다양해요,차분한 분위기에요,아늑해요,고기 질이 좋아요,사진이 잘 나와요,혼술하기 좋아요,음료가 맛있어요,기본 안주가 좋아요,빵이 맛있어요,커피가 맛있어요,집중하기 좋아요,좌석이 편해요,디저트가 맛있어요,비싼 만큼 가치있어요,룸이 잘 되어있어요,반려동물과 가기 좋아요,현지 맛에 가까워요,메뉴 구성이 알차요,야외 공간이 멋져요,컨셉이 독특해요,리뷰자수,별점,별점자 수
청담오후,37.5182026489684,127.041143284938,49,28,24,18,12,12,11,8,7,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4.57,132
뷰티그로서리,37.5236802988279,127.036763364289,87,24,19,5,67,4,13,2,25,54,0,10,12,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,4.57,132
비스트로상수,37.4753310146382,127.047471509417,67,29,50,7,30,4,28,21,9,26,4,8,16,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,4.9,140
모스가든,37.5166432571116,127.028368948292,60,58,33,3,29,32,9,30,0,35,14,0,35,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,4.9,140
신사890,37.5175638984028,127.021568755737,419,337,339,34,69,45,152,200,2,138,35,46,42,90,4,38,33,29,28,19,18,13,13,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,457,4.97,318
조인바이트,37.5114842170655,127.044636524053,166,177,70,15,49,64,42,95,0,44,57,14,27,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,4.97,318
FIREBELL 대치본점,37.50037882937,127.052227537095,186,25,31,10,45,5,31,3,54,32,4,24,40,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,4.43,445
윌로뜨,37.5227355988604,127.043397505646,142,71,119,13,96,2,66,133,3,131,5,3,9,41,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,4.43,445
압구정제주집,37.5215078043625,127.031108231004,531,56,352,117,270,5,158,30,21,192,80,129,61,29,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,4.6,595
롤린우드,37.5218247502385,127.042724803911,0,39,14,2,0,7,28,0,0,24,0,0,0,6,1,14,0,0,0,0,0,0,18,0,14,0,40,32,5,3,0,0,0,0,0,0,0,0,87,4.6,595
