,시군구명,도로명(가로)명,설치위치,설치지점,주소좌표,lat,lng
0,강남구,압구정로,갤러리아(EAST점),도로변(횡단보도 포함),서울특별시 강남구 압구정동 515,37.52808055,127.0415693
1,강남구,압구정로,갤러리아(WEST점),도로변(횡단보도 포함),서울특별시 강남구 압구정동 394,37.52808838,127.0299913
2,강남구,압구정로,갤러리아(생활관),"정류소(버스, 택시 등)",서울특별시 강남구 압구정동 494,37.52856185,127.0400546
3,강남구,압구정로,한양아파트 35동,도로변(횡단보도 포함),서울특별시 강남구 압구정동 489,37.52915614,127.0381666
4,강남구,압구정로,한양아파트 61동,"정류소(버스, 택시 등)", 서울특별시 강남구 압구정동 485,37.52957754,127.0367659
5,강남구,압구정로,현대아파트 91동,도로변(횡단보도 포함),서울특별시 강남구 압구정동 482,37.52992788,127.034867
6,강남구,압구정로,현대아파트 84동,"정류소(버스, 택시 등)",서울특별시 강남구 압구정동 458,37.5296596,127.0308298
7,강남구,압구정로,압구정역 1번출구,지하철역 입구,서울 강남구 압구정동 457 ,37.52785861,127.0293357
8,강남구,압구정로,신현대아파트 103동,도로변(횡단보도 포함),서울 강남구 압구정동 426,37.5262226,127.0244793
9,강남구,압구정로,현대아파트 101동,도로변(횡단보도 포함),서울 강남구 압구정동 426,37.5262226,127.0244793
10,강남구,압구정로,신사중학교,도로변(횡단보도 포함),서울 강남구 압구정동 410,37.52434139,127.021256
11,강남구,압구정로,신사중학교,"정류소(버스, 택시 등)",서울 강남구 압구정동 410,37.52434139,127.021256
12,강남구,압구정로,미성2차 23동앞,도로변(횡단보도 포함),서울 강남구 압구정동 396,37.52306546,127.0181038
13,강남구,압구정로,덕산빌딩,"정류소(버스, 택시 등)",서울 강남구 신사동 528-3,37.52292045,127.020579
14,강남구,압구정로,신사동사무소,도로변(횡단보도 포함),서울 강남구 신사동 548-1,37.52399981,127.0227421
15,강남구,압구정로,대일부동산,"정류소(버스, 택시 등)",서울 강남구 신사동 574-3,37.5253416,127.0253385
16,강남구,압구정로,압구정역 5번출구,지하철역 입구,서울 강남구 신사동 580-6,37.52665935,127.0279554
17,강남구,압구정로,소망부동산,"정류소(버스, 택시 등)",서울 강남구 신사동 615-1,37.52805874,127.0310215
18,강남구,압구정로,라움,도로변(횡단보도 포함),서울 강남구 신사동 617-3,37.5287676,127.0331986
19,강남구,압구정로,대영부동산,도로변(횡단보도 포함),서울 강남구 신사동 638-5,37.52877979,127.0352863
20,강남구,압구정로,더블유 수약국,"정류소(버스, 택시 등)",서울 강남구 신사동 639-1,37.52871686,127.0360076
21,강남구,압구정로,우리은행 압구정로데오지점,도로변(횡단보도 포함),서울 강남구 신사동 638-13,37.52858501,127.0343032
22,강남구,압구정로,동서상가,"정류소(버스, 택시 등)",서울 강남구 신사동 661-1,37.52792225,127.0389015
23,강남구,압구정로,로데오역 6번출구,지하철역 입구,서울 강남구 신사동 664,37.52768957,127.0398542
24,강남구,압구정로,CJ성형외과,도로변(횡단보도 포함),서울 강남구 청담동 78-16,37.52741375,127.0409776
25,강남구,압구정로,삼아약품,"정류소(버스, 택시 등)",서울 강남구 청담동 80-18,37.5263824,127.0450951
26,강남구,압구정로,버버리 코리아,도로변(횡단보도 포함),서울 강남구 청담동 98-8,37.52447929,127.0467443
27,강남구,도산대로,미니스톱(청수빌딩),"정류소(버스, 택시 등)",서울 강남구 청담동 124-4,37.52479735,127.0491684
28,강남구,도산대로,탐앤탐스 청담점,도로변(횡단보도 포함),서울 강남구 도산대로89길 3,37.52505686,127.0501974
29,강남구,도산대로,밀레,도로변(횡단보도 포함),서울 강남구 청담동 91-2,37.52386862,127.041628
30,강남구,도산대로,국민은행 학동사거리점,도로변(횡단보도 포함),서울 강남구 신사동 666-11,37.52377241,127.0389277
31,강남구,도산대로,쉐이크쉑 청담점,"정류소(버스, 택시 등)",서울 강남구 신사동 652-16,37.523117,127.0375867
32,강남구,도산대로,바카라(313빌딩),도로변(횡단보도 포함),서울 강남구 신사동 630-31,37.52250054,127.0355297
33,강남구,도산대로,한성모터스(학빌딩),도로변(횡단보도 포함),서울 강남구 신사동 629-24,37.521751,127.0333574
34,강남구,도산대로,마세라티 강남전시장,"정류소(버스, 택시 등)",서울 강남구 신사동 588-21,37.52083769,127.0305482
35,강남구,도산대로,바른약국,도로변(횡단보도 포함),서울 강남구 신사동 561-31,37.5190292,127.0256273
36,강남구,도산대로,KT 신사점,"정류소(버스, 택시 등)",서울 강남구 신사동 514-10,37.51761962,127.0223373
37,강남구,도산대로,신사역 8번출구,지하철역 입구,서울 강남구 신사동 513-4,37.51701198,127.0208477
38,강남구,도산대로,신사역 7번출구,지하철역 입구,서울 강남구 신사동 501-2,37.51677389,127.0200779
39,강남구,도산대로,신사역 2번출구,지하철역 입구,서울 강남구 논현동 1,37.51586161,127.0201883
40,강남구,도산대로,신사역 1번출구,지하철역 입구,서울 강남구 논현동 2-15,37.51637084,127.0212698
41,강남구,도산대로,청호빌딩,"정류소(버스, 택시 등)",서울 강남구 논현동 3-2,37.51673798,127.0218798
42,강남구,도산대로,애플(페이토빌딩),도로변(횡단보도 포함),서울 강남구 논현동 5-1,37.51732568,127.0234198
43,강남구,도산대로,을지병원,도로변(횡단보도 포함),서울 강남구 논현동 59,37.51941073,127.0285846
