매장명,주소-좌표,lat,lng,주소
펫타리움,서울특별시 강남구 청담동 68-7,37.522461039644,127.055120222188,
강아지똥 애견카페,서울특별시 강남구 논현동 170,37.5083319442207,127.027219172717,
카페더왈츠,서울특별시 강남구 역삼동 834-8,37.4941341200391,127.034305992994,
봉브라더스,서울특별시 강남구 논현동 181-12,37.507349615036,127.026262097184,
전설의 강아지,서울특별시 강남구 논현동 265-23,37.51202869125,127.04117111344,
반려문화,서울특별시 강남구 논현동 85-13,37.5159379247677,127.033303038625,
애니멀 고 파크,서울특별시 강남구 삼성동 60-24,37.5180915472443,127.053924529612,
다독인더 시티,서울특별시 강남구 역삼동 608-23,37.5045808163414,127.034063317365,
두젠틀,서울특별시 강남구 역삼동 667-10,37.5042008059165,127.036074443122,
어야가자애견카페,서울특별시 강남구 역삼동 662-1,37.5065965569812,127.039790238035,
개러리아 삼성본점,서울특별시 강남구 삼성동 9-16,37.5144626785357,127.042901245628,
글램독 그라운드 삼성점,서울특별시 강남구 삼성동 152-69,37.5105878130315,127.056419669093,
멍돌핀 애견카페,서울특별시 강남구 논현동 170-28,37.5079641487515,127.027242111905,
드도그카페,서울특별시 강남구 삼성동 150-19,37.5108519352626,127.05480833392,
애니멀고파크 논현점,서울특별시 강남구 논현동 256-14,37.5136228652412,127.039776322797,
놀로스퀘어,서울특별시 강남구 청담동 46,37.5194408603474,127.049030052105,
감성놀이터,서울특별시 동작구 상도로58길 4,37.4959198885947,126.953041186359,
두젠틀장승배기역점,서울특별시 동작구 상도동 26-27,37.5054294936802,126.942878595881,
웰컴댕댕,서울특별시 동작구 대방동 17-20,37.5090967812563,126.932335702516,
한끼멍냥,서울특별시 동작구 신대방동 692-65,37.487743229352,126.912237580655,
