매장명,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,매장이 청결해요,뷰가 좋아요,대화하기 좋아요,디저트가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,가성비가 좋아요,집중하기 좋아요,화장실이 깨끗해요,좌석이 편해요,주차하기 편해요,리뷰자수,별점,별점자수
이웃집통통이 로데오점,152,148,158,97,67,10,43,561,51,237,37,9,13,21,4,722,4.58,795
더스노우 논현점,28,16,45,32,23,1,10,80,6,36,0,1,1,8,2,112,4.47,127
식물학,108,84,44,57,65,8,53,47,31,17,4,22,20,12,0,233,4.42,535
아가젤라또,7,35,68,3,48,4,12,116,26,49,6,1,0,1,0,139,4.58,286
아이엠씨,21,5,22,11,8,0,20,27,0,13,1,6,4,9,7,69,0,0
한남베르그 도산,71,33,28,24,14,1,19,37,9,20,3,2,1,0,0,98,0,0
레옹앤마틸다,21,27,21,23,16,0,21,13,16,3,6,7,7,6,0,50,4.97,70
BELOW SINSA,6,3,8,3,5,0,2,2,2,3,1,0,1,1,0,11,0,0
머치커피,119,34,39,42,29,15,21,31,17,18,6,6,1,1,0,166,4.58,246
먼셀커피 이수점,71,48,23,36,29,6,26,32,11,4,1,15,6,12,0,119,4.55,363
보트커피,60,2,50,40,6,0,3,1,2,21,30,0,0,0,0,36,0,0
바이엠,22,5,19,14,7,0,6,14,0,5,3,11,1,1,0,37,4.65,91
자매커피,26,0,9,10,1,0,0,5,1,2,11,0,0,0,0,20,4.79,43
카페왓송,30,7,35,30,17,2,6,28,4,9,10,4,1,1,1,48,4.84,94
시너리,86,47,37,62,26,1,32,116,31,37,10,5,13,9,1,181,4.49,276
우부래도,58,36,104,48,57,14,35,0,6,151,12,9,10,12,32,365,4.47,641
레스트어와일,54,52,52,53,28,6,23,65,27,22,11,9,5,23,3,103,4.9,288
카페브르브르,85,48,31,67,50,6,18,89,11,41,5,5,6,18,1,163,4.42,148
위드버터,11,10,26,9,17,0,4,49,1,18,16,0,0,0,0,34,4.81,62
토크넌센스,14,11,4,14,2,2,7,15,3,4,2,1,2,0,0,36,0,0
헤븐리가든,38,21,36,29,20,9,24,17,2,4,6,9,4,12,7,94,4.4,132
멜로우무드,23,11,19,10,12,2,7,26,4,10,0,4,4,4,0,45,4.78,94
카페알코브,75,34,21,36,24,3,17,34,11,9,5,5,6,4,0,98,4.76,200
이수카페 사이,121,30,48,67,25,4,22,42,9,20,25,7,1,10,2,189,4.59,206
오티움 로스터리,24,1,18,7,9,1,3,5,1,2,0,4,3,1,0,20,0,0
미지수카페,27,11,25,16,18,8,5,3,9,0,4,6,7,2,6,43,4.81,96
카페익스큐즈미,13,9,15,5,7,2,6,4,1,1,3,7,0,5,0,36,4.66,81
유별커피,29,0,16,7,7,0,8,4,0,1,11,0,4,0,0,33,4.43,72
카페플랫,16,12,30,6,17,0,2,5,0,4,8,0,2,0,2,54,0,0
서브젝트 커피,38,13,20,12,18,0,3,7,1,9,3,2,1,0,0,50,0,0
앳더스크,28,16,47,17,36,0,12,74,9,28,6,4,4,4,0,89,0,0
요굿트,1,8,19,3,16,0,0,40,2,27,3,0,0,0,0,62,0,0
카페 헷지,55,34,61,26,28,1,17,84,12,31,22,16,0,2,0,71,0,0
본디,7,5,30,3,18,1,1,0,0,26,2,2,0,1,1,34,5,35
고미제과,0,70,159,2,94,1,1,0,4,118,27,0,0,0,0,143,5,35
파니모들,43,26,22,34,19,2,17,48,10,14,3,5,9,13,1,91,4.52,212
키키젤라또,12,18,92,13,56,1,3,142,12,85,16,2,2,2,2,176,0,0
기역니은디귿제빵점,80,22,134,31,85,3,2,0,5,106,30,0,0,1,1,192,0,0
잔디속에있다고상상을해,40,43,21,33,12,4,19,28,11,21,3,42,2,17,0,82,0,0
히뽀1997,18,23,40,19,14,2,12,0,5,21,8,0,2,4,0,83,4.61,133
카페희희,29,12,35,20,23,0,2,48,6,24,18,2,4,6,1,43,4.96,38
