,매장명,커피가 맛있어요,인테리어가 멋져요,친절해요,"""음료가 맛있어요""",매장이 청결해요,뷰가 좋아요,대화하기 좋아요,디저트가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,가성비가 좋아요,집중하기 좋아요,화장실이 깨끗해요,좌석이 편해요,주차하기 편해요,최종점수
25,카페키츠네,203,145,48,69,69,101,49,69,110,38,9,6,15,8,2,0.078
26,니블스,33,19,48,17,25,1,2,78,11,48,2,0,0,0,1,0
27,어반81,64,31,32,34,19,10,15,37,14,16,11,3,6,11,2,0.0264
28,블랙루머 BLACK RUMOR,23,37,45,18,50,3,12,25,13,55,23,5,2,4,1,0
29,페인팅룸,4,48,50,10,14,1,14,0,36,4,13,37,12,3,0,0.0741
30,메종 르자당,0,372,269,0,188,84,1,1,1,96,5,0,38,0,25,0
31,카페오터스,64,23,43,15,10,3,12,40,14,11,6,4,1,3,1,0
32,올디너리모먼트,121,104,95,82,38,5,45,68,30,53,17,23,6,42,6,0.039
33,요거티 강남본점,20,94,151,24,112,4,14,186,46,107,33,3,2,4,6,0
34,Coffee Writer,101,29,29,30,32,1,20,26,6,8,5,10,7,4,3,0.0405
35,천장지구,91,86,45,69,19,4,35,70,43,63,15,18,4,38,1,0.0328
36,누누커피,208,47,78,75,74,4,55,62,13,24,6,14,7,43,9,0.0455
37,르와조 역삼,122,27,46,24,28,1,12,20,6,9,11,5,0,1,0,0
38,더스노우 대치본점,226,269,328,190,316,6,119,445,95,319,39,26,7,34,44,0
39,뇸,30,34,17,26,27,0,20,0,9,22,2,5,0,14,0,0
40,빠삐용빵,7,4,5,3,3,0,1,0,0,5,0,0,0,1,0,0.0199
41,라브리크 서울,160,286,84,96,93,115,88,141,155,86,15,9,32,30,4,0
42,타우너스 에스프레소 바,182,139,40,57,59,22,36,42,68,77,13,10,18,17,3,0
43,에이엔아더,317,83,126,106,74,14,35,83,27,32,41,10,4,11,2,0.0722
44,스케줄청담,0,155,71,0,41,12,26,26,45,60,0,0,3,0,4,0
45,더데이즈커피,18,7,15,13,13,0,5,3,0,5,8,2,1,5,0,0.0091
46,달콤가든,1,2,0,6,2,0,0,2,0,0,3,0,0,1,0,0.0045
47,더포트,79,81,40,45,48,8,35,70,22,14,4,15,2,10,30,0.0329
48,가배도 신논현,109,85,21,65,31,9,53,103,31,45,2,15,18,23,0,0.1605
49,구테로이테,1562,624,644,422,421,38,158,223,250,569,206,27,110,26,48,0.2524
50,이웃집통통이 로데오점,152,148,158,97,67,10,43,561,51,237,37,9,13,21,4,0.1557
51,더스노우 논현점,28,16,45,32,23,1,10,80,6,36,0,1,1,8,2,0.0243
52,식물학,108,84,44,57,65,8,53,47,31,17,4,22,20,12,0,0.1011
53,아가젤라또,7,35,68,3,48,4,12,116,26,49,6,1,0,1,0,0.056
54,아이엠씨,21,5,22,11,8,0,20,27,0,13,1,6,4,9,7,0
55,한남베르그 도산,71,33,28,24,14,1,19,37,9,20,3,2,1,0,0,0
56,레옹앤마틸다,21,27,21,23,16,0,21,13,16,3,6,7,7,6,0,0.0149
57,BELOW SINSA,6,3,8,3,5,0,2,2,2,3,1,0,1,1,0,0
58,머치커피,119,34,39,42,29,15,21,31,17,18,6,6,1,1,0,0.0482
59,먼셀커피 이수점,71,48,23,36,29,6,26,32,11,4,1,15,6,12,0,0.0706
60,보트커피,60,2,50,40,6,0,3,1,2,21,30,0,0,0,0,0
61,바이엠,22,5,19,14,7,0,6,14,0,5,3,11,1,1,0,0.0181
62,자매커피,26,0,9,10,1,0,0,5,1,2,11,0,0,0,0,0.0088
63,카페왓송,30,7,35,30,17,2,6,28,4,9,10,4,1,1,1,0.0195
64,시너리,86,47,37,62,26,1,32,116,31,37,10,5,13,9,1,0.053
65,우부래도,58,36,104,48,57,14,35,0,6,151,12,9,10,12,32,0.1225
66,레스트어와일,54,52,52,53,28,6,23,65,27,22,11,9,5,23,3,0.0603
67,카페브르브르,85,48,31,67,50,6,18,89,11,41,5,5,6,18,1,0.028
68,위드버터,11,10,26,9,17,0,4,49,1,18,16,0,0,0,0,0.0128
69,토크넌센스,14,11,4,14,2,2,7,15,3,4,2,1,2,0,0,0
70,헤븐리가든,38,21,36,29,20,9,24,17,2,4,6,9,4,12,7,0.0248
71,멜로우무드,23,11,19,10,12,2,7,26,4,10,0,4,4,4,0,0.0192
72,카페알코브,75,34,21,36,24,3,17,34,11,9,5,5,6,4,0,0.0407
73,이수카페 사이,121,30,48,67,25,4,22,42,9,20,25,7,1,10,2,0.0404
74,오티움 로스터리,24,1,18,7,9,1,3,5,1,2,0,4,3,1,0,0
75,미지수카페,27,11,25,16,18,8,5,3,9,0,4,6,7,2,6,0.0197
76,카페익스큐즈미,13,9,15,5,7,2,6,4,1,1,3,7,0,5,0,0.0161
77,유별커피,29,0,16,7,7,0,8,4,0,1,11,0,4,0,0,0.0136
78,카페플랫,16,12,30,6,17,0,2,5,0,4,8,0,2,0,2,0
79,서브젝트 커피,38,13,20,12,18,0,3,7,1,9,3,2,1,0,0,0
80,앳더스크,28,16,47,17,36,0,12,74,9,28,6,4,4,4,0,0
81,요굿트,1,8,19,3,16,0,0,40,2,27,3,0,0,0,0,0
82,카페 헷지,55,34,61,26,28,1,17,84,12,31,22,16,0,2,0,0
83,본디,7,5,30,3,18,1,1,0,0,26,2,2,0,1,1,0.0075
84,고미제과,0,70,159,2,94,1,1,0,4,118,27,0,0,0,0,0.0075
85,파니모들,43,26,22,34,19,2,17,48,10,14,3,5,9,13,1,0.041
86,키키젤라또,12,18,92,13,56,1,3,142,12,85,16,2,2,2,2,0
87,기역니은디귿제빵점,80,22,134,31,85,3,2,0,5,106,30,0,0,1,1,0
88,잔디속에있다고상상을해,40,43,21,33,12,4,19,28,11,21,3,42,2,17,0,0
89,히뽀1997,18,23,40,19,14,2,12,0,5,21,8,0,2,4,0,0.0262
90,카페희희,29,12,35,20,23,0,2,48,6,24,18,2,4,6,1,0.0081
